@relation mermer4ysciHist-lbp

@attribute Mean numeric
@attribute ' Varyans' numeric
@attribute ' Skewness' numeric
@attribute ' Kurtosis' numeric
@attribute ' Energy1' numeric
@attribute ' Entropy' numeric
@attribute ' Contrast' numeric
@attribute ' Energy2' numeric
@attribute ' Homogeneity' numeric
@attribute ' Correlation' numeric
@attribute ' x0' numeric
@attribute ' x1' numeric
@attribute ' x2' numeric
@attribute ' x3' numeric
@attribute ' x4' numeric
@attribute ' x5' numeric
@attribute ' x6' numeric
@attribute ' x7' numeric
@attribute ' x8' numeric
@attribute ' x9' numeric
@attribute ' x10' numeric
@attribute ' x11' numeric
@attribute ' x12' numeric
@attribute ' x13' numeric
@attribute ' x14' numeric
@attribute ' x15' numeric
@attribute ' x16' numeric
@attribute ' x17' numeric
@attribute ' class ' {' rossolevanto',' onyx',' keivan',' black'}

@data
132.29,23.51,-0.45,2.47,0.01,-6.49,0.23,0.49,0.89,0.81,0.0632,0.0527,0.0269,0.0177,0.015,0.0158,0.0177,0.0233,0.0294,0.0282,0.0173,0.0168,0.0154,0.0208,0.0283,0.0495,0.0592,0.5016,' onyx'
135.34,16.15,0.02,3.43,0.02,-6.05,0.2,0.59,0.9,0.7,0.0724,0.0493,0.0288,0.02,0.0156,0.0148,0.0147,0.0151,0.016,0.0178,0.0146,0.015,0.015,0.0193,0.027,0.0492,0.0672,0.5275,' onyx'
171.74,12.07,-1.35,6.11,0.03,-5.46,0.08,0.83,0.96,0.73,0.059,0.0453,0.0293,0.023,0.0209,0.0238,0.0257,0.0305,0.0325,0.033,0.023,0.0217,0.0184,0.023,0.031,0.0435,0.0559,0.4594,' onyx'
164.01,14.81,-1.19,4.82,0.02,-5.75,0.15,0.67,0.93,0.74,0.0701,0.0529,0.0282,0.0204,0.0165,0.0158,0.0171,0.0187,0.0202,0.022,0.015,0.0147,0.0145,0.0189,0.0278,0.0492,0.0633,0.5138,' onyx'
151.03,23.82,0.01,3.56,0.01,-6.5,0.12,0.55,0.94,0.9,0.0625,0.0417,0.0338,0.025,0.0235,0.0244,0.0256,0.0299,0.0317,0.0333,0.0253,0.0246,0.0234,0.0279,0.0353,0.0391,0.0606,0.4317,' onyx'
138.11,18.87,-0.71,3.41,0.02,-6.2,0.19,0.6,0.91,0.76,0.0668,0.0524,0.0237,0.0165,0.0142,0.0159,0.017,0.022,0.0243,0.0245,0.0191,0.0174,0.0143,0.0171,0.0242,0.0476,0.061,0.521,' onyx'
134.98,28.27,-0.44,3.2,0.01,-6.77,0.14,0.52,0.93,0.92,0.0579,0.0425,0.0264,0.0189,0.0164,0.0205,0.0286,0.0434,0.0489,0.0447,0.027,0.0222,0.0176,0.02,0.0263,0.0392,0.0539,0.4445,' onyx'
111.29,27.16,-1.56,5.01,0.02,-6.35,0.21,0.54,0.9,0.87,0.0619,0.0492,0.0255,0.0182,0.0154,0.0169,0.0205,0.027,0.0341,0.0323,0.0246,0.0205,0.0182,0.0202,0.0265,0.0437,0.0573,0.4869,' onyx'
141.65,20.46,-0.52,6.56,0.02,-6.15,0.13,0.66,0.94,0.86,0.0553,0.0515,0.0269,0.0169,0.0142,0.0171,0.0201,0.0317,0.0432,0.0361,0.0215,0.0194,0.0164,0.0185,0.0264,0.0471,0.0552,0.4816,' onyx'
175.86,27.47,0.02,2.9,0.01,-6.8,0.3,0.44,0.88,0.82,0.061,0.0513,0.025,0.0151,0.012,0.0127,0.0184,0.031,0.0442,0.0366,0.0194,0.0161,0.013,0.0166,0.0227,0.0481,0.0592,0.4966,' onyx'
148.41,30.88,0.2,2.35,0.01,-6.94,0.35,0.39,0.85,0.83,0.0662,0.0534,0.0243,0.0153,0.0138,0.015,0.0179,0.0247,0.031,0.0265,0.0164,0.0138,0.0123,0.0155,0.0252,0.0499,0.0633,0.5146,' onyx'
