@relation mix4sci

@attribute Mean numeric
@attribute ' Varyans' numeric
@attribute ' Skewness' numeric
@attribute ' Kurtosis' numeric
@attribute ' Energy1' numeric
@attribute ' Entropy' numeric
@attribute ' Contrast' numeric
@attribute ' Energy2' numeric
@attribute ' Homogeneity' numeric
@attribute ' Correlation' numeric
@attribute ' Class' {' rossolevanto',' onyx',' keivan',' black'}

@data
196.33,14.55,-0.53,5.72,0.02,-5.8,0.25,0.6,0.88,0.59,' keivan'
207.49,13.95,-1.07,3.62,0.03,-5.6,0.1,0.76,0.95,0.76,' keivan'
211.74,9.93,-0.5,3.53,0.03,-5.31,0.07,0.83,0.96,0.72,' keivan'
208.59,11.78,-1.06,6.48,0.03,-5.46,0.12,0.82,0.94,0.6,' keivan'
196.59,13.78,-0.93,5.09,0.02,-5.73,0.12,0.69,0.94,0.78,' keivan'
198.47,13.45,-1.25,6.53,0.02,-5.66,0.17,0.7,0.92,0.66,' keivan'
213.67,10.22,-1.72,9.94,0.05,-4.98,0.09,0.84,0.96,0.64,' keivan'
217.1,7.4,-0.71,11.83,0.05,-4.66,0.09,0.82,0.95,0.63,' keivan'
196.92,20.88,-0.74,3.12,0.02,-6.23,0.21,0.59,0.9,0.77,' keivan'
194.59,14.11,-0.73,5.22,0.02,-5.78,0.24,0.58,0.89,0.63,' keivan'
8.52,17.05,12.89,182.75,0.15,-3.25,0.01,0.98,1,0.98,' black'
20.33,23.05,3.32,17.37,0.04,-5.28,0.17,0.83,0.97,0.81,' black'
13.04,16.38,5.1,35.85,0.07,-4.56,0.07,0.93,0.98,0.83,' black'
32.54,25.36,1.02,3.45,0.02,-6.25,0.07,0.62,0.97,0.95,' black'
26.93,28.26,3.06,20.25,0.02,-6.03,0.07,0.7,0.97,0.95,' black'
14.24,18.02,10.09,133.15,0.04,-4.89,0.01,0.96,0.99,0.97,' black'
29.64,20.85,1.24,4.26,0.02,-5.92,0.06,0.67,0.97,0.93,' black'
14.27,13.72,3.37,18.08,0.06,-4.68,0.03,0.91,0.98,0.88,' black'
9.56,6.92,3.48,38.13,0.07,-4.38,0.01,0.99,1,0.72,' black'
22.16,18,2.54,10.37,0.04,-5.18,0.04,0.82,0.98,0.94,' black'
11.99,9.47,3.19,18.33,0.05,-4.68,0.01,0.96,1,0.92,' black'
6.43,6.81,6.72,64.08,0.13,-3.51,0.01,0.98,0.99,0.73,' black'
11.83,16.8,12.6,182.07,0.08,-4.17,0,1,1,1,' black'
10.3,4.95,4.08,34.1,0.1,-3.8,0.01,0.99,1,0.66,' black'
11.64,7.68,4.17,41.44,0.06,-4.38,0.01,0.98,0.99,0.74,' black'
15.48,15.87,2.87,13.71,0.04,-5.23,0.06,0.88,0.98,0.85,' black'
18.14,19.16,2.31,9.34,0.04,-5.47,0.08,0.82,0.97,0.86,' black'
25.81,22.31,1.55,5.28,0.02,-5.94,0.1,0.7,0.95,0.89,' black'
30.65,36.31,3.13,14.78,0.04,-5.68,0.09,0.78,0.96,0.97,' black'
57.19,84.6,1.88,4.6,0.06,-4.74,0.07,0.78,0.99,0.99,' black'
21.48,21.01,6.71,63.2,0.03,-5.43,0.07,0.87,0.97,0.92,' black'
20.23,8.55,9.54,158.93,0.08,-4.06,0.03,0.97,0.99,0.77,' black'
17.16,17.74,7.79,101.91,0.03,-5.28,0.19,0.87,0.98,0.54,' black'
19.58,7.84,1.37,14.61,0.04,-4.89,0.04,0.92,0.98,0.7,' black'
20.05,3.78,3.66,73.37,0.09,-3.77,0.01,0.99,1,0.55,' black'
31.59,16.62,8.58,107.26,0.04,-4.95,0.24,0.67,0.96,0.69,' black'
23.89,22.89,7.77,70.35,0.07,-4.42,0.06,0.92,0.98,0.94,' black'
23.58,21.23,8.48,85.37,0.06,-4.65,0.04,0.91,0.98,0.96,' black'
15.01,15.78,14.49,219.18,0.11,-3.53,0,0.99,1,0.99,' black'
19.44,6.54,9.89,244.06,0.08,-4,0.02,0.96,0.99,0.83,' black'
21.43,16.66,6.94,74.57,0.04,-5.1,0.16,0.88,0.96,0.72,' black'
18.36,13.62,7.25,80,0.04,-4.95,0.05,0.95,0.98,0.83,' black'
8.18,3.37,10.87,232.85,0.15,-3.1,0,1,1,0.74,' black'
9.68,3.04,6.33,103.34,0.13,-3.21,0,1,1,0.64,' black'
10.72,21.64,8.6,87.35,0.08,-4.28,0.03,0.96,0.99,0.95,' black'
22.28,24.14,4.65,35.82,0.03,-5.59,0.06,0.81,0.97,0.95,' black'
11.55,14.08,16.23,279.45,0.13,-3.27,0.16,0.99,0.99,0.13,' black'
8.79,17.62,12.02,161.78,0.18,-3.15,0.03,0.98,0.99,0.94,' black'
13.06,12.35,3.93,23.44,0.06,-4.69,0.06,0.94,0.98,0.75,' black'
17.68,17.79,3.43,18.32,0.04,-5.32,0.08,0.87,0.97,0.86,' black'
21.53,38.84,3.21,14,0.04,-5.55,0.74,0.79,0.88,0.71,' black'
34.57,56.81,2.23,7.1,0.03,-6.07,1.15,0.7,0.83,0.8,' black'
26.95,24.8,5.77,37.75,0.06,-4.53,0.31,0.91,0.95,0.76,' black'
17.23,41.97,4.18,20.74,0.06,-4.91,0.28,0.88,0.95,0.9,' black'
6.47,2.67,7.65,109.17,0.23,-2.65,0,1,1,0.33,' black'
5.14,19.86,6.45,48.96,0.3,-2.68,0.12,0.95,0.97,0.79,' black'
17.39,23.59,7.9,76.64,0.04,-5.06,0.2,0.95,0.98,0.75,' black'
10.96,4.41,11.21,260.42,0.13,-3.29,0.01,0.99,1,0.79,' black'
8.17,14.8,13.52,196.33,0.22,-2.72,0.01,0.99,1,0.99,' black'
20.33,23.05,3.32,17.37,0.04,-5.28,0.17,0.83,0.97,0.81,' black'
